Date,Open,High,Low,Close
20200601,10971.40,11109.29,10971.40,11079.02
20200602,11109.27,11170.49,11102.97,11127.93
20200603,11182.52,11330.52,11182.52,11320.16
20200604,11373.94,11425.42,11341.58,11393.23
20200605,11418.01,11482.36,11411.94,11479.40
20200608,11539.00,11631.89,11528.44,11610.32
20200609,11600.61,11640.45,11537.38,11637.11
20200610,11635.99,11740.90,11621.02,11720.16
20200611,11738.49,11771.12,11516.59,11535.77
20200612,11406.54,11442.30,11244.64,11429.94
20200615,11436.28,11469.84,11299.45,11306.26
20200616,11380.67,11542.25,11380.67,11511.64
20200617,11525.50,11550.32,11482.32,11534.59
20200618,11534.20,11567.42,11485.39,11548.33
20200619,11557.27,11584.88,11542.37,11549.86
20200622,11553.91,11632.88,11553.91,11572.93
20200623,11618.42,11679.40,11530.85,11612.36
20200624,11647.86,11701.23,11637.79,11660.67
20200629,11608.80,11608.80,11500.65,11542.62
20200630,11563.60,11638.00,11563.60,11621.24
20200701,11622.64,11736.39,11622.64,11703.42
20200702,11694.10,11805.21,11690.95,11805.14
20200703,11857.90,11933.59,11857.90,11909.16
20200706,11941.84,12116.70,11941.84,12116.70
20200707,12176.79,12249.95,12028.57,12092.97
20200708,12086.13,12190.27,12083.84,12170.19
20200709,12222.90,12273.43,12181.34,12192.69
20200710,12250.44,12253.58,12030.20,12073.68
20200713,12109.61,12216.24,12109.61,12211.56
20200714,12202.89,12228.31,12143.91,12209.01
20200715,12233.99,12320.48,12162.52,12202.85
20200716,12173.04,12220.93,12107.04,12157.74
20200717,12195.72,12266.93,12144.62,12181.56
20200720,12205.25,12221.33,12065.80,12174.54
20200721,12242.32,12450.16,12242.32,12397.55
20200722,12389.76,12486.95,12389.40,12473.27
20200723,12423.02,12429.76,12347.86,12413.04
20200724,12467.43,12502.84,12266.55,12304.04
20200727,12618.69,12686.36,12586.91,12588.30
20200728,12951.72,13031.70,12533.19,12586.73
20200729,12530.74,12660.87,12488.01,12540.97
20200730,12691.86,12769.47,12616.83,12722.92
20200731,12653.46,12733.48,12635.71,12664.80
20200803,12642.73,12673.02,12506.59,12513.03
20200804,12577.88,12709.92,12577.88,12709.92
20200805,12762.34,12816.39,12739.99,12802.30
20200806,12894.24,12971.87,12851.20,12913.50
20200807,12901.43,12912.63,12791.18,12828.87
20200810,12786.80,12933.16,12786.80,12894.00
20200811,12856.46,12906.01,12780.19,12780.19
20200812,12713.63,12730.96,12625.54,12670.35
20200813,12758.87,12812.80,12717.13,12763.13
20200814,12709.97,12801.31,12679.19,12795.46
20200817,12813.94,12956.11,12800.69,12956.11
20200818,12974.96,12981.58,12840.25,12872.14
20200819,12904.84,12950.11,12778.64,12778.64
20200820,12764.75,12764.75,12144.76,12362.64
20200821,12462.52,12638.65,12462.52,12607.84
20200824,12629.78,12702.94,12567.95,12647.13
20200825,12706.40,12814.56,12698.85,12758.25
20200826,12768.96,12833.29,12734.69,12833.29
20200827,12888.65,12960.68,12786.45,12797.31
20200828,12759.30,12799.16,12674.57,12728.85
20200831,12763.44,12831.38,12591.45,12591.45
20200901,12617.39,12703.28,12565.83,12703.28
20200902,12772.43,12802.61,12646.47,12699.50
20200903,12774.97,12857.79,12732.32,12757.97
20200904,12645.92,12655.67,12559.78,12637.95
20200907,12645.93,12725.05,12575.36,12601.40
20200908,12637.42,12702.55,12614.72,12663.56
20200909,12592.18,12616.57,12480.50,12608.58
20200910,12665.74,12708.64,12650.40,12691.75
20200911,12697.46,12701.79,12616.68,12675.95
20200914,12680.41,12793.07,12680.41,12787.82
20200915,12787.42,12857.73,12773.23,12845.65
20200916,12989.81,13021.68,12948.72,12976.76
20200917,12920.15,12972.52,12851.52,12872.74
20200918,12858.60,12927.81,12841.09,12875.62
20200921,12874.61,12952.31,12795.09,12795.12
20200922,12786.91,12786.91,12632.74,12645.51
20200923,12656.30,12700.89,12548.07,12583.88
20200924,12487.48,12487.48,12264.38,12264.38
20200925,12312.94,12385.81,12149.81,12232.91
20200928,12282.36,12462.76,12282.36,12462.76
20200929,12488.10,12571.34,12429.72,12467.73
20200930,12483.65,12568.68,12466.58,12515.61
20201005,12567.88,12637.62,12519.12,12548.28
20201006,12644.09,12706.39,12644.09,12704.23
20201007,12667.51,12774.36,12619.81,12746.37
20201008,12832.54,12887.19,12818.01,12887.19
20201012,12959.15,12997.79,12898.89,12955.91
20201013,12988.44,12994.66,12857.10,12947.13
20201014,12927.09,12960.00,12895.79,12919.31
20201015,12892.29,12909.11,12786.26,12827.82
20201016,12814.16,12896.30,12750.37,12750.37
20201019,12803.32,12911.41,12803.32,12908.34
20201020,12889.99,12917.75,12862.37,12862.37
20201021,12889.88,12942.12,12846.42,12877.25
20201022,12854.97,12917.03,12827.40,12917.03
20201023,12945.12,12963.26,12875.23,12898.82
20201026,12923.55,12971.58,12894.18,12909.03
20201027,12867.77,12884.32,12821.07,12875.01
20201028,12853.76,12879.98,12761.33,12793.75
20201029,12687.64,12699.82,12583.37,12662.91
20201030,12651.35,12656.29,12546.34,12546.34
20201102,12565.32,12594.34,12480.66,12591.31
20201103,12641.28,12760.14,12641.28,12736.01
20201104,12766.86,12885.28,12736.02,12867.90
20201105,12878.01,12918.80,12840.40,12918.80
20201106,12952.49,12999.16,12927.30,12973.53
20201109,13053.98,13149.90,13048.67,13127.47
20201110,13090.65,13142.22,13022.92,13081.72
20201111,13067.04,13262.19,13067.04,13262.19
20201112,13324.86,13324.86,13193.74,13221.78
20201113,13221.80,13273.33,13170.12,13273.33
20201116,13356.74,13551.83,13356.74,13551.83
20201117,13723.77,13780.12,13593.01,13593.01
20201118,13628.42,13773.29,13608.72,13773.29
