20200526,46443269598,32273384898,14169884700
20200527,38786072945,38453861063,332211882
20200528,43505336846,50759686784,-7254349938
20200529,109117642179,120162821103,-11045178924
20200601,52835931727,37407071311,15428860416
20200602,46917426481,45189168683,1728257798
20200603,62453116202,44810641594,17642474608
20200604,50379304412,45895804450,4483499962
20200605,45971985238,38912491687,7059493551
20200608,54251585047,44597423870,9654161177
20200609,46768103700,39945646096,6822457604
20200610,55091372862,44860946954,10230425908
20200611,56059950298,55832064118,227886180
20200612,51633607454,48683392252,2950215202
20200615,35036346437,50683991381,-15647644944
20200616,53488275850,35135492889,18352782961
20200617,43957824194,40182136855,3775687339
20200618,48607121186,46356291607,2250829579
20200619,78513712648,88733241582,-10219528934
20200622,42884762667,40520503944,2364258723
20200623,54013466954,50203243746,3810223208
20200624,56214982735,46881697465,9333285270
20200629,55007505541,67946945437,-12939439896
20200630,56769888714,49930983305,6838905409
20200701,41308179491,37658141168,3650038323
20200702,44478608529,41620785384,2857823145
20200703,46360598882,35693694141,10666904741
20200706,65837386141,45684767849,20152618292
20200707,68833491977,64260539930,4572952047
20200708,53281199219,58780158178,-5498958959
20200709,51074900518,57744338624,-6669438106
20200710,62547759529,62292926409,254833120
20200713,53925475061,49547949418,4377525643
20200714,52387365764,57119566368,-4732200604
20200715,66105394992,62146370762,3959024230
20200716,51364830826,58422995048,-7058164222
20200717,48567700439,46787491771,1780208668
20200720,49876747403,45522546042,4354201361
20200721,65230255984,52589687326,12640568658
20200722,48828047540,51209955765,-2381908225
20200723,51350296088,60219619074,-8869322986
20200724,62897600697,73667665933,-10770065236
20200727,70026962140,62494951894,7532010246
20200728,97309302368,104613170764,-7303868396
20200729,61827556835,67952447674,-6124890839
20200730,60059576546,62897898404,-2838321858
20200731,58198953561,67108470607,-8909517046
20200803,56580400132,86823197897,-30242797765
20200804,56591152370,50984870223,5606282147
20200805,57588767247,57879790560,-291023313
20200806,62581098097,58668846337,3912251760
20200807,53019143646,65207614582,-12188470936
20200810,54385129043,51632836276,2752292767
20200811,49406016035,54377271656,-4971255621
20200812,48342138857,58762212484,-10420073627
20200813,65982446222,58749834189,7232612033
20200814,55116268150,51167350321,3948917829
20200817,56208816666,46563294258,9645522408
20200818,65473998741,68469478906,-2995480165
20200819,66681585029,67201322181,-519737152
20200820,90308201936,104978746595,-14670544659
20200821,68181618396,62535084656,5646533740
20200824,65008682223,65873252763,-864570540
20200825,55192388219,51727034886,3465353333
20200826,48436599807,46533357013,1903242794
20200827,53210146944,60956864611,-7746717667
20200828,56719511414,62795402016,-6075890602
20200831,94339612838,110082111614,-15742498776
20200901,74360131547,70527876831,3832254716
20200902,60527076031,65553718360,-5026642329
20200903,71496494534,60644675323,10851819211
20200904,55418952154,79015809430,-23596857276
20200907,52079728602,61545981263,-9466252661
20200908,54761824558,50658745236,4103079322
20200909,55593399070,65406058203,-9812659133
20200910,54724969435,48904744274,5820225161
20200911,51014553371,47090578679,3923974692
20200914,51976715614,42396156671,9580558943
20200915,53992162188,48133598205,5858563983
20200916,70065334193,51591993577,18473340616
20200917,47163206875,57136650514,-9973443639
20200918,79061730968,79897893207,-836162239
20200921,42793035519,49311806578,-6518771059
20200922,45565652352,54974657538,-9409005186
20200923,43354537666,55307745266,-11953207600
20200924,48336465024,92067011774,-43730546750
20200925,58548131195,58832577020,-284445825
20200928,50755778392,40681818281,10073960111
20200929,57983036900,59858906885,-1875869985
20200930,49258625840,44354158845,4904466995
20201005,47422694062,47107283119,315410943
20201006,51211057504,41842366697,9368690807
20201007,52464756038,46727849446,5736906592
20201008,65303139831,48417574012,16885565819
20201012,81803960601,68436026624,13367933977
20201013,54456086486,52976637084,1479449402
20201014,65121671560,71749663318,-6627991758
20201015,45666214979,59107150567,-13440935588
20201016,47713469340,51432089895,-3718620555
20201019,51630627493,38871998225,12758629268
20201020,40936667941,42953972923,-2017304982
20201021,46193780656,46793116970,-599336314
20201022,63984695339,57247012012,6737683327
20201023,37791909511,40561750091,-2769840580
20201026,36000779679,37460169062,-1459389383
20201027,48172637318,52922618964,-4749981646
20201028,39512036078,46791286742,-7279250664
20201029,43767360753,59863998632,-16096637879
20201030,53933406763,76146193660,-22212786897
20201102,50880659089,47970337506,2910321583
20201103,53987437491,39468096678,14519340813
20201104,51411496648,45266137151,6145359497
20201105,58176488237,42804594627,15371893610
20201106,55392765296,41619664638,13773100658
20201109,70507024144,49231383685,21275640459
20201110,67834700732,71126301511,-3291600779
20201111,78096019355,62704383307,15391636048
20201112,74664784686,69064358578,5600426108
20201113,53064503945,47850512058,5213991887
20201116,73994184924,51123736735,22870448189
20201117,75258636115,60159379282,15099256833
20201118,85225124427,64084278834,21140845593
20201119,58053544961,62756375834,-4702830873
20201120,55725551914,60201357409,-4475805495
20201123,69816614108,58939863943,10876750165
20201124,58291467066,63068172812,-4776705746
20201125,62297306290,72929374635,-10632068345
20201126,56304423459,53095860151,3208563308
20201127,59327041368,62544625519,-3217584151
20201130,175042609216,208325674856,-33283065640
20201201,64234035390,63744438600,489596790
20201202,88121355417,85576428675,2544926742
20201203,66373495340,72851185396,-6477690056
20201204,76249877831,61567317630,14682560201
20201207,73247840982,80159079674,-6911238692
20201208,65342758801,61149249339,4193509462
20201209,72699289098,73897654610,-1198365512
20201210,61635854201,75978640095,-14342785894
20201211,75401266129,77531790297,-2130524168
20201214,57810692741,61591120579,-3780427838
20201215,67430886036,83951164506,-16520278470
20201216,94239405297,64962137019,29277268278
20201217,67737178892,64833284057,2903894835
20201218,74753649075,74684738909,68910166
