Date,Open,High,Low,Close,Diff
20200601,10971.4,11109.29,10971.4,11079.02,0.0
20200602,11109.27,11170.49,11102.97,11127.93,137.87
20200603,11182.52,11330.52,11182.52,11320.16,73.25
20200604,11373.94,11425.42,11341.58,11393.23,191.42
20200605,11418.01,11482.36,11411.94,11479.4,44.07
20200608,11539.0,11631.89,11528.44,11610.32,120.99
20200609,11600.61,11640.45,11537.38,11637.11,61.61
20200610,11635.99,11740.9,11621.02,11720.16,35.38
20200611,11738.49,11771.12,11516.59,11535.77,102.5
20200612,11406.54,11442.3,11244.64,11429.94,-331.95
20200615,11436.28,11469.84,11299.45,11306.26,29.74
20200616,11380.67,11542.25,11380.67,11511.64,-55.61
20200617,11525.5,11550.32,11482.32,11534.59,144.83
20200618,11534.2,11567.42,11485.39,11548.33,8.7
20200619,11557.27,11584.88,11542.37,11549.86,23.07
20200622,11553.91,11632.88,11553.91,11572.93,-3.36
20200623,11618.42,11679.4,11530.85,11612.36,64.51
20200624,11647.86,11701.23,11637.79,11660.67,29.44
20200629,11608.8,11608.8,11500.65,11542.62,-39.06
20200630,11563.6,11638.0,11563.6,11621.24,-45.2
20200701,11622.64,11736.39,11622.64,11703.42,59.04
20200702,11694.1,11805.21,11690.95,11805.14,71.46
20200703,11857.9,11933.59,11857.9,11909.16,163.8
20200706,11941.84,12116.7,11941.84,12116.7,83.94
20200707,12176.79,12249.95,12028.57,12092.97,234.95
20200708,12086.13,12190.27,12083.84,12170.19,-90.66
20200709,12222.9,12273.43,12181.34,12192.69,136.77
20200710,12250.44,12253.58,12030.2,12073.68,27.54
20200713,12109.61,12216.24,12109.61,12211.56,-140.83
20200714,12202.89,12228.31,12143.91,12209.01,93.28
20200715,12233.99,12320.48,12162.52,12202.85,31.1
20200716,12173.04,12220.93,12107.04,12157.74,-60.95
20200717,12195.72,12266.93,12144.62,12181.56,22.68
20200720,12205.25,12221.33,12065.8,12174.54,9.53
20200721,12242.32,12450.16,12242.32,12397.55,37.07
20200722,12389.76,12486.95,12389.4,12473.27,147.44
20200723,12423.02,12429.76,12347.86,12413.04,33.26
20200724,12467.43,12502.84,12266.55,12304.04,44.41
20200727,12618.69,12686.36,12586.91,12588.3,151.26
20200728,12951.72,13031.7,12533.19,12586.73,333.03
20200729,12530.74,12660.87,12488.01,12540.97,-420.98
20200730,12691.86,12769.47,12616.83,12722.92,161.12
20200731,12653.46,12733.48,12635.71,12664.8,-38.4
20200803,12642.73,12673.02,12506.59,12513.03,-10.73
20200804,12577.88,12709.92,12577.88,12709.92,-64.85
