Date,1thFFundDiff,2thFFundDiff,3thFFundDiff,4thFFundDiff,5thFFundDiff,6thFFundDiff,7thFFundDiff
20200924,18473340616,-9973443639,-836162239,-6518771059,-9409005186,-11953207600,-43730546750
20200925,-9973443639,-836162239,-6518771059,-9409005186,-11953207600,-43730546750,-284445825
20200928,-836162239,-6518771059,-9409005186,-11953207600,-43730546750,-284445825,10073960111
20200929,-6518771059,-9409005186,-11953207600,-43730546750,-284445825,10073960111,-1875869985
20200930,-9409005186,-11953207600,-43730546750,-284445825,10073960111,-1875869985,4904466995
20201005,-11953207600,-43730546750,-284445825,10073960111,-1875869985,4904466995,315410943
20201006,-43730546750,-284445825,10073960111,-1875869985,4904466995,315410943,9368690807
20201007,-284445825,10073960111,-1875869985,4904466995,315410943,9368690807,5736906592
20201008,10073960111,-1875869985,4904466995,315410943,9368690807,5736906592,16885565819
20201012,-1875869985,4904466995,315410943,9368690807,5736906592,16885565819,13367933977
20201013,4904466995,315410943,9368690807,5736906592,16885565819,13367933977,1479449402
20201014,315410943,9368690807,5736906592,16885565819,13367933977,1479449402,-6627991758
20201015,9368690807,5736906592,16885565819,13367933977,1479449402,-6627991758,-13440935588
20201016,5736906592,16885565819,13367933977,1479449402,-6627991758,-13440935588,-3718620555
20201019,16885565819,13367933977,1479449402,-6627991758,-13440935588,-3718620555,12758629268
20201020,13367933977,1479449402,-6627991758,-13440935588,-3718620555,12758629268,-2017304982
20201021,1479449402,-6627991758,-13440935588,-3718620555,12758629268,-2017304982,-599336314
20201022,-6627991758,-13440935588,-3718620555,12758629268,-2017304982,-599336314,6737683327
20201023,-13440935588,-3718620555,12758629268,-2017304982,-599336314,6737683327,-2769840580
20201026,-3718620555,12758629268,-2017304982,-599336314,6737683327,-2769840580,-1459389383
20201027,12758629268,-2017304982,-599336314,6737683327,-2769840580,-1459389383,-4749981646
20201028,-2017304982,-599336314,6737683327,-2769840580,-1459389383,-4749981646,-7279250664
20201029,-599336314,6737683327,-2769840580,-1459389383,-4749981646,-7279250664,-16096637879
20201030,6737683327,-2769840580,-1459389383,-4749981646,-7279250664,-16096637879,-22212786897
20201102,-2769840580,-1459389383,-4749981646,-7279250664,-16096637879,-22212786897,2910321583
20201103,-1459389383,-4749981646,-7279250664,-16096637879,-22212786897,2910321583,14519340813
20201104,-4749981646,-7279250664,-16096637879,-22212786897,2910321583,14519340813,6145359497
20201105,-7279250664,-16096637879,-22212786897,2910321583,14519340813,6145359497,15371893610
20201106,-16096637879,-22212786897,2910321583,14519340813,6145359497,15371893610,13773100658
20201109,-22212786897,2910321583,14519340813,6145359497,15371893610,13773100658,21275640459
20201110,2910321583,14519340813,6145359497,15371893610,13773100658,21275640459,-3291600779
20201111,14519340813,6145359497,15371893610,13773100658,21275640459,-3291600779,15391636048
20201112,6145359497,15371893610,13773100658,21275640459,-3291600779,15391636048,5600426108
20201113,15371893610,13773100658,21275640459,-3291600779,15391636048,5600426108,5213991887
20201116,13773100658,21275640459,-3291600779,15391636048,5600426108,5213991887,22870448189
20201117,21275640459,-3291600779,15391636048,5600426108,5213991887,22870448189,15099256833
20201118,-3291600779,15391636048,5600426108,5213991887,22870448189,15099256833,21140845593
20201119,15391636048,5600426108,5213991887,22870448189,15099256833,21140845593,-4702830873
20201120,5600426108,5213991887,22870448189,15099256833,21140845593,-4702830873,-4475805495
20201123,5213991887,22870448189,15099256833,21140845593,-4702830873,-4475805495,10876750165
20201124,22870448189,15099256833,21140845593,-4702830873,-4475805495,10876750165,-4776705746
20201125,15099256833,21140845593,-4702830873,-4475805495,10876750165,-4776705746,-10632068345
20201126,21140845593,-4702830873,-4475805495,10876750165,-4776705746,-10632068345,3208563308
20201127,-4702830873,-4475805495,10876750165,-4776705746,-10632068345,3208563308,-3217584151
20201130,-4475805495,10876750165,-4776705746,-10632068345,3208563308,-3217584151,-33283065640
20201201,10876750165,-4776705746,-10632068345,3208563308,-3217584151,-33283065640,489596790
20201202,-4776705746,-10632068345,3208563308,-3217584151,-33283065640,489596790,2544926742
20201203,-10632068345,3208563308,-3217584151,-33283065640,489596790,2544926742,-6477690056
20201204,3208563308,-3217584151,-33283065640,489596790,2544926742,-6477690056,14682560201
20201207,-3217584151,-33283065640,489596790,2544926742,-6477690056,14682560201,-6911238692
20201208,-33283065640,489596790,2544926742,-6477690056,14682560201,-6911238692,4193509462
20201209,489596790,2544926742,-6477690056,14682560201,-6911238692,4193509462,-1198365512
20201210,2544926742,-6477690056,14682560201,-6911238692,4193509462,-1198365512,-14342785894
20201211,-6477690056,14682560201,-6911238692,4193509462,-1198365512,-14342785894,-2130524168
20201214,14682560201,-6911238692,4193509462,-1198365512,-14342785894,-2130524168,-3780427838
20201215,-6911238692,4193509462,-1198365512,-14342785894,-2130524168,-3780427838,-16520278470
20201216,4193509462,-1198365512,-14342785894,-2130524168,-3780427838,-16520278470,29277268278
20201217,-1198365512,-14342785894,-2130524168,-3780427838,-16520278470,29277268278,2903894835
20201218,-14342785894,-2130524168,-3780427838,-16520278470,29277268278,2903894835,68910166
20201221,-2130524168,-3780427838,-16520278470,29277268278,2903894835,68910166,10436251661
